code,regname,si,creatd_at,updated_at
11B00000,서울,서울특별시,2021-06-04 14:07:42,2021-06-04 14:07:42
11D10000,강원도,강원도,2021-06-04 14:07:42,2021-06-04 14:07:42
11D20000,강원도,강원도,2021-06-04 14:07:42,2021-06-04 14:07:42
11C20000,대전,대전광역시,2021-06-04 14:07:42,2021-06-04 14:07:42
11C10000,충청북도,충청북도,2021-06-04 14:07:42,2021-06-04 14:07:42
11F20000,광주,광주광역시,2021-06-04 14:07:42,2021-06-04 14:07:42
11F10000,전라북도,전라북도,2021-06-04 14:07:42,2021-06-04 14:07:42
11H10000,대구,대구광역시,2021-06-04 14:07:42,2021-06-04 14:07:42
11H20000,부산,부산광역시,2021-06-04 14:07:42,2021-06-04 14:07:42
11G00000,제주,제주특별자치도,2021-06-04 14:07:42,2021-06-04 14:07:42
11B00000,인천,인천광역시,2021-06-04 14:07:42,2021-06-04 14:07:42
11B00000,경기,경기도,2021-06-04 14:07:42,2021-06-04 14:07:42
11C20000,세종,세종특별자치시,2021-06-04 14:07:42,2021-06-04 14:07:42
11C20000,충청남도,충청남도,2021-06-04 14:07:42,2021-06-04 14:07:42
11C20000,전라남도,전라남도,2021-06-04 14:07:42,2021-06-04 14:07:42
11H10000,경상북도,경상북도,2021-06-04 14:09:02,2021-06-04 14:09:02
11H20000,울산,울산광역시,2021-06-04 14:09:02,2021-06-04 14:09:02
11H20000,경상남도,경상남도,2021-06-04 14:09:02,2021-06-04 14:09:02
11B00000,서울,서울특별시,2021-06-04 14:07:42,2021-06-04 14:07:42
11D10000,강원도,강원도,2021-06-04 14:07:42,2021-06-04 14:07:42
11D20000,강원도,강원도,2021-06-04 14:07:42,2021-06-04 14:07:42
11C20000,대전,대전광역시,2021-06-04 14:07:42,2021-06-04 14:07:42
11C10000,충청북도,충청북도,2021-06-04 14:07:42,2021-06-04 14:07:42
11F20000,광주,광주광역시,2021-06-04 14:07:42,2021-06-04 14:07:42
11F10000,전라북도,전라북도,2021-06-04 14:07:42,2021-06-04 14:07:42
11H10000,대구,대구광역시,2021-06-04 14:07:42,2021-06-04 14:07:42
11H20000,부산,부산광역시,2021-06-04 14:07:42,2021-06-04 14:07:42
11G00000,제주,제주특별자치도,2021-06-04 14:07:42,2021-06-04 14:07:42
11B00000,인천,인천광역시,2021-06-04 14:07:42,2021-06-04 14:07:42
11B00000,경기,경기도,2021-06-04 14:07:42,2021-06-04 14:07:42
11C20000,세종,세종특별자치시,2021-06-04 14:07:42,2021-06-04 14:07:42
11C20000,충청남도,충청남도,2021-06-04 14:07:42,2021-06-04 14:07:42
11C20000,전라남도,전라남도,2021-06-04 14:07:42,2021-06-04 14:07:42
11H10000,경상북도,경상북도,2021-06-04 14:09:02,2021-06-04 14:09:02
11H20000,울산,울산광역시,2021-06-04 14:09:02,2021-06-04 14:09:02
11H20000,경상남도,경상남도,2021-06-04 14:09:02,2021-06-04 14:09:02
